ref_projects;orderId;ordertimestamp;orderMonth;invoicecode;payment;orderstatecancel;orderstatefinal;projectItemId;orderItemId;timestamp;price_clean;price_vat;amount;multiplier;ref_catalog_complete;vat;itemname;orderDay;delivery_type;payment_type;currency;creditInvoiceCode;carrierPackageId;ref_catalog_complete_final;multiplier_final;catCompleteCombinationId;lastOrderStateChange;delivery_type_id;custom_type;orderDestinationCountryId;id_combinations;orderItemType;ab_test_name;ab_test_variant;alternative_product_source;alternative_product_invasive;global_upsell_type;itemId;itemGlobalId;showroomName;commonName;unique_item_id
38;500000001;2026-05-01 12:00:00;05;;PayPal;1;1;1000;2000;;50.92;60.6;1.000000;1.0;;19.000;Air Optix Night and Day Aqua (6 Linsen);01;DE - DHL;PayPal;EUR;;;;;;;;;84;;Normal;280;1;;;;100;;;Air Optix Night and Day Aqua (6 Linsen);
38;500000001;2026-05-01 12:05:00;05;;PayPal;0;1;delivery_38__0;;;3.27;3.9;1;1.0;;19.000;Delivery - DHL;01;DE - DHL;PayPal;EUR;;;;;;;;;84;;Normal;280;1;;;;;;;;
38;500000002;2026-05-08 12:00:00;05;;Vorkasse;0;1;1010;2010;;22.10;26.3;1.000000;1.0;;19.000;Biofinity (6 Linsen);08;DE - DHL;Vorkasse;EUR;;;;;;;;;84;;Normal;280;2;;;;101;;;Biofinity (6 Linsen);
38;500000002;2026-05-08 12:01:00;05;;Vorkasse;0;1;1011;2011;;22.10;26.3;1.000000;1.0;;19.000;Biofinity (6 Linsen);08;DE - DHL;Vorkasse;EUR;;;;;;;;;84;;Normal;280;2;;;;101;;;Biofinity (6 Linsen);
38;500000002;2026-05-08 12:05:00;05;;Vorkasse;0;1;delivery_38__1;;;3.27;3.9;1;1.0;;19.000;Delivery - DHL;08;DE - DHL;Vorkasse;EUR;;;;;;;;;84;;Normal;280;2;;;;;;;;
38;500000003;2026-05-15 12:00:00;05;;Kreditkarte;0;1;1020;2020;;18.40;21.9;1.000000;1.0;;19.000;Dailies AquaComfort Plus (30 Linsen);15;DE - DHL;Kreditkarte;EUR;;;;;;;;;84;;Normal;221;1;;;;102;;;Dailies AquaComfort Plus (30 Linsen);
38;500000003;2026-05-15 12:05:00;05;;Kreditkarte;0;1;delivery_38__2;;;3.27;3.9;1;1.0;;19.000;Delivery - DHL;15;DE - DHL;Kreditkarte;EUR;;;;;;;;;84;;Normal;221;1;;;;;;;;
38;500000004;2026-05-22 12:00:00;05;;PayPal;0;1;1030;2030;;31.50;37.5;1.000000;1.0;;19.000;Biofinity Multifocal (3 Linsen);22;DE - DHL;PayPal;EUR;;;;;;;;;84;;Normal;221;2;;;;103;;;Biofinity Multifocal (3 Linsen);
38;500000004;2026-05-22 12:01:00;05;;PayPal;0;1;1031;2031;;31.50;37.5;1.000000;1.0;;19.000;Biofinity Multifocal (3 Linsen);22;DE - DHL;PayPal;EUR;;;;;;;;;84;;Normal;221;2;;;;103;;;Biofinity Multifocal (3 Linsen);
38;500000004;2026-05-22 12:05:00;05;;PayPal;0;1;delivery_38__3;;;3.27;3.9;1;1.0;;19.000;Delivery - DHL;22;DE - DHL;PayPal;EUR;;;;;;;;;84;;Normal;221;2;;;;;;;;
38;500000005;2026-05-01 12:00:00;05;;Vorkasse;0;1;1040;2040;;50.92;60.6;1.000000;1.0;;19.000;Air Optix Night and Day Aqua (6 Linsen);01;DE - DHL;Vorkasse;EUR;;;;;;;;;84;;Normal;280|221;1|2;;;;104;;;Air Optix Night and Day Aqua (6 Linsen);
38;500000005;2026-05-01 12:05:00;05;;Vorkasse;0;1;delivery_38__4;;;3.27;3.9;1;1.0;;19.000;Delivery - DHL;01;DE - DHL;Vorkasse;EUR;;;;;;;;;84;;Normal;280|221;1|2;;;;;;;;
38;500000006;2026-05-08 12:00:00;05;;Kreditkarte;0;1;1050;2050;;22.10;26.3;1.000000;1.0;;19.000;Biofinity (6 Linsen);08;DE - DHL;Kreditkarte;EUR;;;;;;;;;84;;Normal;;;;;;105;;;Biofinity (6 Linsen);
38;500000006;2026-05-08 12:01:00;05;;Kreditkarte;0;1;1051;2051;;22.10;26.3;1.000000;1.0;;19.000;Biofinity (6 Linsen);08;DE - DHL;Kreditkarte;EUR;;;;;;;;;84;;Normal;;;;;;105;;;Biofinity (6 Linsen);
38;500000006;2026-05-08 12:05:00;05;;Kreditkarte;0;1;delivery_38__5;;;3.27;3.9;1;1.0;;19.000;Delivery - DHL;08;DE - DHL;Kreditkarte;EUR;;;;;;;;;84;;Normal;;;;;;;;;;
38;500000007;2026-05-15 12:00:00;05;;PayPal;0;1;1060;2060;;18.40;21.9;1.000000;1.0;;19.000;Dailies AquaComfort Plus (30 Linsen);15;DE - DHL;PayPal;EUR;;;;;;;;;84;;Normal;280;1;;;;106;;;Dailies AquaComfort Plus (30 Linsen);
38;500000007;2026-05-15 12:05:00;05;;PayPal;0;1;delivery_38__6;;;3.27;3.9;1;1.0;;19.000;Delivery - DHL;15;DE - DHL;PayPal;EUR;;;;;;;;;84;;Normal;280;1;;;;;;;;
38;500000008;2026-05-22 12:00:00;05;;Vorkasse;0;1;1070;2070;;31.50;37.5;1.000000;1.0;;19.000;Biofinity Multifocal (3 Linsen);22;DE - DHL;Vorkasse;EUR;;;;;;;;;84;;Normal;280;2;;;;107;;;Biofinity Multifocal (3 Linsen);
38;500000008;2026-05-22 12:01:00;05;;Vorkasse;0;1;1071;2071;;31.50;37.5;1.000000;1.0;;19.000;Biofinity Multifocal (3 Linsen);22;DE - DHL;Vorkasse;EUR;;;;;;;;;84;;Normal;280;2;;;;107;;;Biofinity Multifocal (3 Linsen);
38;500000008;2026-05-22 12:05:00;05;;Vorkasse;0;1;delivery_38__7;;;3.27;3.9;1;1.0;;19.000;Delivery - DHL;22;DE - DHL;Vorkasse;EUR;;;;;;;;;84;;Normal;280;2;;;;;;;;
38;500000009;2026-05-01 12:00:00;05;;Kreditkarte;0;1;1080;2080;;50.92;60.6;1.000000;1.0;;19.000;Air Optix Night and Day Aqua (6 Linsen);01;DE - DHL;Kreditkarte;EUR;;;;;;;;;84;;Normal;221;1;;;;108;;;Air Optix Night and Day Aqua (6 Linsen);
38;500000009;2026-05-01 12:05:00;05;;Kreditkarte;0;1;delivery_38__8;;;3.27;3.9;1;1.0;;19.000;Delivery - DHL;01;DE - DHL;Kreditkarte;EUR;;;;;;;;;84;;Normal;221;1;;;;;;;;
38;500000010;2026-05-08 12:00:00;05;;PayPal;0;1;1090;2090;;22.10;26.3;1.000000;1.0;;19.000;Biofinity (6 Linsen);08;DE - DHL;PayPal;EUR;;;;;;;;;84;;Normal;221;2;;;;109;;;Biofinity (6 Linsen);
38;500000010;2026-05-08 12:01:00;05;;PayPal;0;1;1091;2091;;22.10;26.3;1.000000;1.0;;19.000;Biofinity (6 Linsen);08;DE - DHL;PayPal;EUR;;;;;;;;;84;;Normal;221;2;;;;109;;;Biofinity (6 Linsen);
38;500000010;2026-05-08 12:05:00;05;;PayPal;0;1;delivery_38__9;;;3.27;3.9;1;1.0;;19.000;Delivery - DHL;08;DE - DHL;PayPal;EUR;;;;;;;;;84;;Normal;221;2;;;;;;;;
38;500000011;2026-05-15 12:00:00;05;;Vorkasse;0;1;1100;2100;;18.40;21.9;1.000000;1.0;;19.000;Dailies AquaComfort Plus (30 Linsen);15;DE - DHL;Vorkasse;EUR;;;;;;;;;84;;Normal;280|221;1|2;;;;110;;;Dailies AquaComfort Plus (30 Linsen);
38;500000011;2026-05-15 12:05:00;05;;Vorkasse;0;1;delivery_38__10;;;3.27;3.9;1;1.0;;19.000;Delivery - DHL;15;DE - DHL;Vorkasse;EUR;;;;;;;;;84;;Normal;280|221;1|2;;;;;;;;
38;500000012;2026-05-22 12:00:00;05;;Kreditkarte;0;1;1110;2110;;31.50;37.5;1.000000;1.0;;19.000;Biofinity Multifocal (3 Linsen);22;DE - DHL;Kreditkarte;EUR;;;;;;;;;84;;Normal;;;;;;111;;;Biofinity Multifocal (3 Linsen);
38;500000012;2026-05-22 12:01:00;05;;Kreditkarte;0;1;1111;2111;;31.50;37.5;1.000000;1.0;;19.000;Biofinity Multifocal (3 Linsen);22;DE - DHL;Kreditkarte;EUR;;;;;;;;;84;;Normal;;;;;;111;;;Biofinity Multifocal (3 Linsen);
38;500000012;2026-05-22 12:05:00;05;;Kreditkarte;0;1;delivery_38__11;;;3.27;3.9;1;1.0;;19.000;Delivery - DHL;22;DE - DHL;Kreditkarte;EUR;;;;;;;;;84;;Normal;;;;;;;;;;
38;500000013;2026-05-01 12:00:00;05;;PayPal;0;1;1120;2120;;50.92;60.6;1.000000;1.0;;19.000;Air Optix Night and Day Aqua (6 Linsen);01;DE - DHL;PayPal;EUR;;;;;;;;;84;;Normal;280;1;;;;112;;;Air Optix Night and Day Aqua (6 Linsen);
38;500000013;2026-05-01 12:05:00;05;;PayPal;0;1;delivery_38__12;;;3.27;3.9;1;1.0;;19.000;Delivery - DHL;01;DE - DHL;PayPal;EUR;;;;;;;;;84;;Normal;280;1;;;;;;;;
38;500000014;2026-05-08 12:00:00;05;;Vorkasse;0;1;1130;2130;;22.10;26.3;1.000000;1.0;;19.000;Biofinity (6 Linsen);08;DE - DHL;Vorkasse;EUR;;;;;;;;;84;;Normal;280;2;;;;113;;;Biofinity (6 Linsen);
38;500000014;2026-05-08 12:01:00;05;;Vorkasse;0;1;1131;2131;;22.10;26.3;1.000000;1.0;;19.000;Biofinity (6 Linsen);08;DE - DHL;Vorkasse;EUR;;;;;;;;;84;;Normal;280;2;;;;113;;;Biofinity (6 Linsen);
38;500000014;2026-05-08 12:05:00;05;;Vorkasse;0;1;delivery_38__13;;;3.27;3.9;1;1.0;;19.000;Delivery - DHL;08;DE - DHL;Vorkasse;EUR;;;;;;;;;84;;Normal;280;2;;;;;;;;
38;500000015;2026-05-15 12:00:00;05;;Kreditkarte;0;1;1140;2140;;18.40;21.9;1.000000;1.0;;19.000;Dailies AquaComfort Plus (30 Linsen);15;DE - DHL;Kreditkarte;EUR;;;;;;;;;84;;Normal;221;1;;;;114;;;Dailies AquaComfort Plus (30 Linsen);
38;500000015;2026-05-15 12:05:00;05;;Kreditkarte;0;1;delivery_38__14;;;3.27;3.9;1;1.0;;19.000;Delivery - DHL;15;DE - DHL;Kreditkarte;EUR;;;;;;;;;84;;Normal;221;1;;;;;;;;
38;500000016;2026-05-22 12:00:00;05;;PayPal;0;1;1150;2150;;31.50;37.5;1.000000;1.0;;19.000;Biofinity Multifocal (3 Linsen);22;DE - DHL;PayPal;EUR;;;;;;;;;84;;Normal;221;2;;;;115;;;Biofinity Multifocal (3 Linsen);
38;500000016;2026-05-22 12:01:00;05;;PayPal;0;1;1151;2151;;31.50;37.5;1.000000;1.0;;19.000;Biofinity Multifocal (3 Linsen);22;DE - DHL;PayPal;EUR;;;;;;;;;84;;Normal;221;2;;;;115;;;Biofinity Multifocal (3 Linsen);
38;500000016;2026-05-22 12:05:00;05;;PayPal;0;1;delivery_38__15;;;3.27;3.9;1;1.0;;19.000;Delivery - DHL;22;DE - DHL;PayPal;EUR;;;;;;;;;84;;Normal;221;2;;;;;;;;
38;500000017;2026-05-01 12:00:00;05;;Vorkasse;0;1;1160;2160;;50.92;60.6;1.000000;1.0;;19.000;Air Optix Night and Day Aqua (6 Linsen);01;DE - DHL;Vorkasse;EUR;;;;;;;;;84;;Normal;280|221;1|2;;;;116;;;Air Optix Night and Day Aqua (6 Linsen);
38;500000017;2026-05-01 12:05:00;05;;Vorkasse;0;1;delivery_38__16;;;3.27;3.9;1;1.0;;19.000;Delivery - DHL;01;DE - DHL;Vorkasse;EUR;;;;;;;;;84;;Normal;280|221;1|2;;;;;;;;
38;500000018;2026-05-08 12:00:00;05;;Kreditkarte;1;1;1170;2170;;22.10;26.3;1.000000;1.0;;19.000;Biofinity (6 Linsen);08;DE - DHL;Kreditkarte;EUR;;;;;;;;;84;;Normal;;;;;;117;;;Biofinity (6 Linsen);
38;500000018;2026-05-08 12:01:00;05;;Kreditkarte;1;1;1171;2171;;22.10;26.3;1.000000;1.0;;19.000;Biofinity (6 Linsen);08;DE - DHL;Kreditkarte;EUR;;;;;;;;;84;;Normal;;;;;;117;;;Biofinity (6 Linsen);
38;500000018;2026-05-08 12:05:00;05;;Kreditkarte;0;1;delivery_38__17;;;3.27;3.9;1;1.0;;19.000;Delivery - DHL;08;DE - DHL;Kreditkarte;EUR;;;;;;;;;84;;Normal;;;;;;;;;;
38;500000019;2026-05-15 12:00:00;05;;PayPal;0;1;1180;2180;;18.40;21.9;1.000000;1.0;;19.000;Dailies AquaComfort Plus (30 Linsen);15;DE - DHL;PayPal;EUR;;;;;;;;;84;;Normal;280;1;;;;118;;;Dailies AquaComfort Plus (30 Linsen);
38;500000019;2026-05-15 12:05:00;05;;PayPal;0;1;delivery_38__18;;;3.27;3.9;1;1.0;;19.000;Delivery - DHL;15;DE - DHL;PayPal;EUR;;;;;;;;;84;;Normal;280;1;;;;;;;;
38;500000020;2026-05-22 12:00:00;05;;Vorkasse;0;1;1190;2190;;31.50;37.5;1.000000;1.0;;19.000;Biofinity Multifocal (3 Linsen);22;DE - DHL;Vorkasse;EUR;;;;;;;;;84;;Normal;280;2;;;;119;;;Biofinity Multifocal (3 Linsen);
38;500000020;2026-05-22 12:01:00;05;;Vorkasse;0;1;1191;2191;;31.50;37.5;1.000000;1.0;;19.000;Biofinity Multifocal (3 Linsen);22;DE - DHL;Vorkasse;EUR;;;;;;;;;84;;Normal;280;2;;;;119;;;Biofinity Multifocal (3 Linsen);
38;500000020;2026-05-22 12:05:00;05;;Vorkasse;0;1;delivery_38__19;;;3.27;3.9;1;1.0;;19.000;Delivery - DHL;22;DE - DHL;Vorkasse;EUR;;;;;;;;;84;;Normal;280;2;;;;;;;;
38;500000021;2026-05-01 12:00:00;05;;Kreditkarte;0;1;1200;2200;;50.92;60.6;1.000000;1.0;;19.000;Air Optix Night and Day Aqua (6 Linsen);01;DE - DHL;Kreditkarte;EUR;;;;;;;;;84;;Normal;221;1;;;;120;;;Air Optix Night and Day Aqua (6 Linsen);
38;500000021;2026-05-01 12:05:00;05;;Kreditkarte;0;1;delivery_38__20;;;3.27;3.9;1;1.0;;19.000;Delivery - DHL;01;DE - DHL;Kreditkarte;EUR;;;;;;;;;84;;Normal;221;1;;;;;;;;
38;500000022;2026-05-08 12:00:00;05;;PayPal;0;1;1210;2210;;22.10;26.3;1.000000;1.0;;19.000;Biofinity (6 Linsen);08;DE - DHL;PayPal;EUR;;;;;;;;;84;;Normal;221;2;;;;121;;;Biofinity (6 Linsen);
38;500000022;2026-05-08 12:01:00;05;;PayPal;0;1;1211;2211;;22.10;26.3;1.000000;1.0;;19.000;Biofinity (6 Linsen);08;DE - DHL;PayPal;EUR;;;;;;;;;84;;Normal;221;2;;;;121;;;Biofinity (6 Linsen);
